id;type;contract;underlying_symbol;exp_date;expiration_type;type;strike;exchange;currency;open;high;low;last;last_size;change;pctchange;previous;previous_date;bid;bid_date;bid_size;ask;ask_date;ask_size;moneyness;volume;volume_change;volume_pctchange;open_interest;open_interest_change;open_interest_pctchange;volatility;volatility_change;volatility_pctchange;theoretical;delta;gamma;theta;vega;rho;tradetime;vol_oi_ratio;dte;midpoint;data_retrieved_for
NVDA250926P00210000-2025-08-11;options-eod;NVDA250926P00210000;NVDA;2025-09-26;weekly;put;210.0;NASDAQ;USD;0.0;0.0;0.0;30.23;0;0.0;0.0;0.0;;28.8;2025-08-11 19:59:59;17;29.75;2025-08-11 19:59:59;10;0.15;0;0;0.0;1;0;0.0;0.3826;0.0;0.0;29.28;-0.844272;0.010045;-0.050944;0.151528;-0.124538;2025-08-06;0.0;46;29.28;2025-08-06
NVDA250926P00210000-2025-08-08;options-eod;NVDA250926P00210000;NVDA;2025-09-26;weekly;put;210.0;NASDAQ;USD;0.0;0.0;0.0;30.23;0;0.0;0.0;0.0;;28.4;2025-08-08 19:59:59;23;29.15;2025-08-08 19:59:59;17;0.15;0;0;0.0;1;1;0.0;0.3785;0.0178;4.95;28.77;-0.834803;0.010287;-0.051544;0.161369;-0.129764;2025-08-06;0.0;48;28.78;2025-08-06
NVDA250926P00200000-2025-08-08;options-eod;NVDA250926P00200000;NVDA;2025-09-26;weekly;put;200.0;NASDAQ;USD;0.0;0.0;0.0;22.6;0;0.0;0.0;0.0;;20.4;2025-08-08 19:59:59;5;21.05;2025-08-08 19:59:59;28;0.09;0;0;0.0;2;2;0.0;0.3826;-0.0149;-3.76;20.73;-0.71631;0.013679;-0.075976;0.222917;-0.138027;2025-08-06;0.0;48;20.73;2025-08-06
NVDA250926C00245000-2025-08-08;options-eod;NVDA250926C00245000;NVDA;2025-09-26;weekly;call;245.0;NASDAQ;USD;0.0;0.0;0.0;0.36;0;0.0;0.0;0.0;;0.28;2025-08-08 19:59:59;14;0.35;2025-08-08 19:59:59;10;-0.33999999999999997;0;0;0.0;0;0;0.0;0.4096;-0.0041;-1.0;0.32;0.031334;0.002598;-0.020604;0.046742;0.007115;2025-08-06;0.0;48;0.32;2025-08-06
NVDA250926C00235000-2025-08-08;options-eod;NVDA250926C00235000;NVDA;2025-09-26;weekly;call;235.0;NASDAQ;USD;0.0;0.0;0.0;0.61;0;0.0;0.0;0.0;;0.48;2025-08-08 19:59:59;10;0.55;2025-08-08 19:59:59;10;-0.29000000000000004;0;0;0.0;8;8;0.0;0.3944;-0.0056;-1.41;0.51;0.049715;0.003928;-0.028995;0.068029;0.011269;2025-08-06;0.0;48;0.52;2025-08-06
NVDA250926C00120000-2025-08-08;options-eod;NVDA250926C00120000;NVDA;2025-09-26;weekly;call;120.0;NASDAQ;USD;0.0;0.0;0.0;61.51;0;0.0;0.0;0.0;;63.25;2025-08-08 19:59:59;51;64.15;2025-08-08 19:59:59;22;0.34;0;0;0.0;14;14;0.0;0.5986;0.217;56.86;63.7;0.980839;0.001175;-0.033367;0.030899;0.151889;2025-08-06;0.0;48;63.7;2025-08-06
NVDA250926C00110000-2025-08-08;options-eod;NVDA250926C00110000;NVDA;2025-09-26;weekly;call;110.0;NASDAQ;USD;0.0;0.0;0.0;70.57;0;0.0;0.0;0.0;;73.1;2025-08-08 19:59:57;55;74.0;2025-08-08 19:59:57;30;0.4;0;0;0.0;1;1;0.0;0.6672;-0.2182;-24.65;73.55;0.987492;0.00073;-0.027919;0.021413;0.140534;2025-08-06;0.0;48;73.55;2025-08-06
NVDA250926C00285000-2025-08-13;options-eod;NVDA250926C00285000;NVDA;2025-09-26;weekly;call;285.0;NASDAQ;USD;0.0;0.0;0.0;0.06;0;0.0;0.0;0.0;;0.05;2025-08-13 19:59:59;204;0.07;2025-08-13 19:59:59;187;-0.5700000000000001;0;0;0.0;25;0;0.0;0.4962;0.0;0.0;0.06;0.006238;0.000562;-0.006389;0.0111;0.001293;2025-08-07;0.0;44;0.06;2025-08-07
NVDA250926P00075000-2025-08-12;options-eod;NVDA250926P00075000;NVDA;2025-09-26;weekly;put;75.0;NASDAQ;USD;0.0;0.0;0.0;0.04;0;0.0;0.0;0.0;;0.02;2025-08-12 19:59:59;159;0.11;2025-08-12 19:59:59;1;-0.5900000000000001;0;0;0.0;1;0;0.0;0.9949;0.0;0.0;0.07;-0.003028;0.000144;-0.006492;0.005937;-0.000723;2025-08-07;0.0;45;0.07;2025-08-07
NVDA250926C00285000-2025-08-12;options-eod;NVDA250926C00285000;NVDA;2025-09-26;weekly;call;285.0;NASDAQ;USD;0.0;0.0;0.0;0.06;0;0.0;0.0;0.0;;0.04;2025-08-12 19:59:59;219;0.13;2025-08-12 19:59:59;17;-0.56;0;0;0.0;25;0;0.0;0.5011;0.0;0.0;0.09;0.008352;0.000706;-0.00833;0.014645;0.001781;2025-08-07;0.0;45;0.09;2025-08-07
